t,x1,y1,heading1,az1,el1,x2,y2,heading2,az2,el2,dist
114,0.8412535328311812,0.5406408174555976,2.4275943232284765,-62.22222222222222,-16.666666666666657,0.0,0.0,6.283185307179586,80.0,150.0,1.0
115,0.8412535328311812,0.5406408174555976,2.4275943232284765,-62.22222222222222,16.666666666666686,0.0,0.0,6.283185307179586,80.0,150.0,1.0
116,0.8412535328311812,0.5406408174555976,2.4275943232284765,-62.22222222222222,50.0,0.0,0.0,6.283185307179586,80.0,150.0,1.0
117,0.8412535328311812,0.5406408174555976,2.4275943232284765,-62.22222222222222,83.33333333333334,0.0,0.0,6.283185307179586,80.0,150.0,1.0
118,0.8412535328311812,0.5406408174555976,2.4275943232284765,-62.22222222222222,116.66666666666669,0.0,0.0,6.283185307179586,80.0,150.0,1.0
119,0.8412535328311812,0.5406408174555976,2.4275943232284765,-62.22222222222222,150.0,0.0,0.0,6.283185307179586,80.0,150.0,1.0
120,0.8412535328311812,0.5406408174555976,2.4275943232284765,-44.44444444444444,-150.0,0.0,0.0,6.283185307179586,80.0,150.0,1.0
121,0.8412535328311812,0.5406408174555976,2.4275943232284765,-44.44444444444444,-116.66666666666666,0.0,0.0,6.283185307179586,80.0,150.0,1.0
122,0.8412535328311812,0.5406408174555976,2.4275943232284765,-44.44444444444444,-83.33333333333333,0.0,0.0,6.283185307179586,80.0,150.0,1.0
123,0.8412535328311812,0.5406408174555976,2.4275943232284765,-44.44444444444444,-50.0,0.0,0.0,6.283185307179586,80.0,150.0,1.0
124,0.8412535328311812,0.5406408174555976,2.4275943232284765,-44.44444444444444,-16.666666666666657,0.0,0.0,6.283185307179586,80.0,150.0,1.0
125,0.8412535328311812,0.5406408174555976,2.4275943232284765,-44.44444444444444,16.666666666666686,0.0,0.0,6.283185307179586,80.0,150.0,1.0
126,0.8412535328311812,0.5406408174555976,2.4275943232284765,-44.44444444444444,50.0,0.0,0.0,6.283185307179586,80.0,150.0,1.0
127,0.8412535328311812,0.5406408174555976,2.4275943232284765,-44.44444444444444,83.33333333333334,0.0,0.0,6.283185307179586,80.0,150.0,1.0
128,0.8412535328311812,0.5406408174555976,2.4275943232284765,-44.44444444444444,116.66666666666669,0.0,0.0,6.283185307179586,80.0,150.0,1.0
129,0.8412535328311812,0.5406408174555976,2.4275943232284765,-44.44444444444444,150.0,0.0,0.0,6.283185307179586,80.0,150.0,1.0
130,0.8412535328311812,0.5406408174555976,2.4275943232284765,-26.666666666666664,-150.0,0.0,0.0,6.283185307179586,80.0,150.0,1.0
131,0.8412535328311812,0.5406408174555976,2.4275943232284765,-26.666666666666664,-116.66666666666666,0.0,0.0,6.283185307179586,80.0,150.0,1.0
132,0.8412535328311812,0.5406408174555976,2.4275943232284765,-26.666666666666664,-83.33333333333333,0.0,0.0,6.283185307179586,80.0,150.0,1.0
133,0.8412535328311812,0.5406408174555976,2.4275943232284765,-26.666666666666664,-50.0,0.0,0.0,6.283185307179586,80.0,150.0,1.0
